word,similarity
answer,0.09437437985860693
annual,0.10059011282415731
able,0.1353628555664656
bring,0.07220884186989818
come,0.10249448020554298
chance,0.07429932096183145
day,0.08913655647807721
entire,0.0893341256093524
far,0.08052321143591809
find,0.09678262518435335
go,0.10888467760043417
get,0.09962206838705479
hear,0.08023593773869303
help,0.09315003856369745
host,0.11107505947514411
hold,0.09304361726831958
join,0.10947437751126825
look,0.09283413564387528
long,0.08858696229373313
live,0.09717370166791894
month,0.09478791963059592
matter,0.0717824214516079
member,0.10556530109883908
morning,0.07567277946459366
meet,0.11866729758699618
night,0.0887178641321291
near,0.05663087469987948
opportunity,0.09794823595891325
open,0.08742361772556781
plan,0.08148801923486014
place,0.06781818226558971
phone,0.1183354249406603
read,0.11674264024551277
receive,0.10693180126450821
recent,0.1076995861086827
sure,0.1083676274978031
send,0.12257080261465989
share,0.09494008610892578
small,0.09601177996327515
staff,0.09772629423900124
shut,0.08653340432461606
thank,0.09152819053295352
think,0.07759380271627872
take,0.10050578060966098
today,0.08704650410936327
talk,0.09421607823726688
weekend,0.10105981397265286
week,0.09223629921064072
yesterday,0.09998057239261388
