screen_name,id,location,description,url,followers,friends,status_counts
RepZoeLofgren,267938462,,"Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",http://t.co/gxyqi3ANcp,48181,134,2369
RepRichmond,267854863,,Representing the 2nd Congressional District of Louisiana and the Who Dat Nation. House Democratic Assistant to the Majority Whip. IG: https://t.co/lkfRG1AFXI,https://t.co/pacN0vi7Kh,29558,876,2543
SenatorWicker,264219447,"Mississippi & Washington, DC",Senior U.S. Senator for Mississippi. Chairman @SenateCommerce. Please visit my website for updates.,https://t.co/iD8pcNybj9,86440,371,5436
RepMaloney,258900199,New York City,"Honored to rep #NY12 in the US House. A progressive fmr teacher fighting for #Manhattan, #Brooklyn & #Queens. Proud to wear FDNY coat to #renew911VCF! DMs open",https://t.co/EhTt891RCX,44161,3293,11215
RepJoeWilson,254082173,"Springdale, SC",Official Twitter account of U.S. Representative Joe Wilson. Grateful to serve the Second Congressional District of South Carolina.,https://t.co/569jD8U5wS,14350,443,2745
RepTomReed,252819323,,Tom Reed represents New York's 23rd Congressional District,http://t.co/IqT9uqukZl,17964,686,3296
RepPeterDeFazio,252249233,,Representing the 4th Congressional District in Oregon,http://t.co/QVPjYtiwNC,30922,733,1460
RonWyden,250188760,Oregon,U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjcD79,https://t.co/PeDrcHcuFw,461173,476,8946
SenatorCarper,249787913,Delaware,"Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and ranking member @EPWDems",http://t.co/0KSoFFra6j,97594,1436,8613
SanfordBishop,249410485,Georgia 2nd CD & Washington DC,Proudly representing Georgia's 2nd Congressional District. Chairman of House Appropriations Subcommittee on Agriculture  https://t.co/gQh6pvYihy,http://t.co/ozJucyCFUb,20319,780,2042
RepAnnaEshoo,249348006,"Palo Alto, CA",Representing California's 18th Congressional District--the heart of Silicon Valley.,,44784,898,2546
RepBarbaraLee,248735463,"Washington, DC and Oakland, CA","Progressive Democrat representing the #EastBay. Promoting justice for all, peace, & human rights. @ProChoiceCaucus Co-Chair. Proud member of the #resistance.",https://t.co/hfpx6kAg4s,248712,16271,10327
sethmoulton,248495200,"Salem, MA","Father, husband, Marine, Congressman. It's time for a new generation of leadership.",https://t.co/h0AgFFroQ6,147413,2439,11119
SenatorDurbin,247334603,,Serving the people of Illinois. Democratic Whip.,https://t.co/75Y2c3yeVH,630607,2408,15225
HouseJudiciary,246357149,"Washington, D.C.","Proudly working to protect and defend the safety, privacy, consumer rights, civil rights and civil liberties of all Americans. Chairman @RepJerryNadler ⚖",https://t.co/Ka04Cz8EB3,97322,933,8974
RepJimCosta,245451804,,Costa represents California's 16th District. He serves on the Agriculture & Natural Resources Committees. This account is for official use only.,https://t.co/RAnctTNS0I,20569,627,2528
HerreraBeutler,242926427,,"I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the U.S. Congress. Sign up for my e-newsletter ➡️ https://t.co/pMK3BznGfq",https://t.co/gt4OmCDBVX,21255,824,1326
RepTipton,242873057,"Cortez, CO","Proud to Represent the people of #Colorado's 3rd Congressional District. Member of @FinancialCmte, & Vice Chairman of @westerncaucus",https://t.co/mPBCduxaJ7,24866,1349,3222
SenatorLeahy,242836537,"Washington, DC",,http://t.co/yrKgLVIocD,192517,2629,15736
RepFrankLucas,242772524,"Cheyenne, OK","Husband, Dad, 5th Generation Oklahoman. Ranking Member @housesciencegop. Proudly representing Oklahoma’s Third Congressional District.",https://t.co/S3duYhCDDn,19827,321,1041
SenWhitehouse,242555999,Rhode Island,"U.S. Senator from Rhode Island, the Ocean State.",https://t.co/zi0ijI1KND,341061,1851,12890
RepMcGovern,242426145,"Massachusetts, USA",Dad. Husband. #Worcester born & raised. Chairman of @RulesDemocrats & @CECCgov. Co-Chair of @TLhumanrights. Fighting to #EndHungerNow #OverturnCitizensUnited,https://t.co/f2XcW4hsKs,68758,638,10263
RepYvetteClarke,240812994,"Brooklyn, NY",Representing New York’s 9th Congressional District. Brooklyn bred. Vice Chair of @EnergyCommerce // press: sarah.sinovic@mail.house.gov,,64989,3856,12584
RepGosar,240760644,,"Representative for AZ’s 4th District, Chairman of @WesternCaucus, Republican Leader of Energy & Minerals @NatResources. #BuildTheWall #MAGA 🇺🇸",https://t.co/fETcpzL0kG,61910,4526,10308
RepMcKinley,240427862,,Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account,http://t.co/5H1HsbP76e,30675,1077,6076
RepJeffDuncan,240393970,"Laurens, SC","Christian, husband, father, small business owner. Lover of football & the outdoors. Employee for the people of SC's Third Congressional District. Call me Jeff.",https://t.co/SmkIIIu2vS,57290,17205,9156
HomelandGOP,239964567,"Washington, DC",News & updates from U.S. House of Representatives Homeland Security Committee Republicans. Led by @RepMikeRogersAL (R-Ala.).,https://t.co/rwSWECGt8h,22356,1045,6670
RepKarenBass,239949176,Los Angeles & Washington,"Representing California's 37th District, which includes Los Angeles, South LA, and Culver City. https://t.co/XHzgMSAQAc",http://t.co/1QNH7tmurQ,112609,2652,5222
RepWalberg,237862972,MI 7th Congressional District,"Proudly serving the Michigan 7th District, tweet at me or join the discussion on Facebook https://t.co/s2yk4ilkLp",https://t.co/oFV7u1ZvSM,17426,1340,4728
RepHartzler,237763317,"Harrisonville, Missouri",I serve the hardworking Missourians of #MO4. Working to reduce big govt. burden & unleash American spirit. On Armed Services and Agriculture Committees.,http://t.co/67BpQ5eROP,24403,833,7124
RepSteveChabot,237750442,Cincinnati,"Husband, grandpa, public servant, & proud Cincinnatian. Chairman of @HouseSmallBiz & senior Member on @HouseJudiciary & @HouseForeign.",https://t.co/uGxNrFAFsk,28548,3002,3352
RepBillFlores,237312687,17th District of Texas,"I serve hardworking Texas families in District 17 to rebuild our national security, improve economic opportunity, and protect our Constitutional liberties.",https://t.co/sdeY8itPYQ,20395,3899,10530
RepMoBrooks,237299871,Alabama,"Thanks for following Alabama’s 5th District Congressman. Political discourse welcome. BLOCKED: Profanity, defamation, lying. PLEASE RETWEET GOOD INFO!",http://t.co/XErdLh9N6C,34889,1381,2902
SenGaryPeters,236511574,,U.S. Senator proudly representing the state of Michigan.,http://t.co/LDQSc7zibg,112009,1210,6244
NormaJTorres,236279233,,U.S. Representative for California's 35th District. @AppropsDems @RulesDemocrats,https://t.co/U117m1MF5R,33324,976,7531
DesJarlaisTN04,235312723,,Individual Rights. Small Government. Strong Defense. Representing Tennessee's 4th District in Congress.,,19058,1871,5095
SenCoryGardner,235217558,Colorado,Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.,,122251,277,4804
RepChuck,235190657,"Washington, D.C./TN-03",My official House office Twitter account. I work for the people of TN-03.,http://t.co/BanS9JzDxx,17109,713,2862
RepBobGibbs,234822928,US Congress,R-OH https://t.co/2BckMkGpZV,https://t.co/PQvRKDIC74,36836,1695,3298
RepLarryBucshon,234812598,Indiana's 8th District,Congressman representing Hoosiers from #IN08. Doctor. Member of @HouseCommerce. https://t.co/4eq38gWLlg,https://t.co/wPeLTvPae3,21839,1985,5682
AustinScottGA08,234797704,"Tifton, GA",I am proud to represent the 8th Congressional District of Georgia. | Committees: @HASCRepublicans and @HouseAgGOP | Also at https://t.co/gEh48fmc4Q.,http://t.co/GQwXIhub9a,22900,466,2959
HouseAgGOP,234573331,"Washington, DC",News and updates from Ranking Member K. Michael Conaway (TX-11) and the House Agriculture Committee Republicans.,https://t.co/uOxGCh55qL,22470,1201,6382
rep_stevewomack,234469322,Arkansas's 3rd District,Proud to serve the folks of Arkansas's 3rd District. Ranking Member of @HouseBudgetGOP.,https://t.co/2iFHpbXo1l,21490,1512,7315
Sen_JoeManchin,234374703,"West Virginia, USA","U.S. Senator for #WV. Ranking member @EnergyDems. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",http://t.co/KZ8ptSeHhI,183256,744,6448
SenToddYoung,234128524,Indiana,I proudly serve Hoosier families in the U.S. Senate. Contact my office at (202) 224-5623 for assistance. You can also visit our website for additional info.,https://t.co/IhAAMvhCKv,48094,505,5398
RepMGriffith,234057152,9th District of Virginia,Congressman Griffith represents the 9th District of Virginia in the U.S. House of Representatives.,http://t.co/DxAGNTJ5Ux,29524,454,1424
RepWilson,234014087,Washington DC,Former educator & state legislator; founder & chair of FL Ports Caucus; founder of 5000 Role Models of Excellence Project; #WHEREARETHEGIRLS?,https://t.co/nl0nWWKHtj,73526,3542,13132
RepHuizenga,233949261,"2nd District, MI",I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!,http://t.co/F9UwL81Pr9,21243,4999,6626
justinamash,233842454,Third District of Michigan,"I defend #liberty • “Laws must be general, equal, and certain.” —F.A. Hayek",,364028,5818,16371
SenRonJohnson,233737858,"Oshkosh, WI",Chairman of the Homeland Security and Governmental Affairs Committee & the Subcommittee on Europe & Regional Security Cooperation. Tweets from Ron are signed–rj,http://t.co/uMmOdTCWwT,113482,684,5232
RepRickCrawford,233693291,"Washington, DC","Representing Arkansas's 1st District in the United States House of Representatives. Serve on @HouseAgGOP, @TransportGOP, and House Intelligence Committee",https://t.co/Bh2OlD3a1Q,20659,1050,5492
USRepKeating,232992031,"Bourne, Ma","Official Twitter page. Chairman of Europe, Eurasia, Energy, & the Environment Subcommittee & senior Member of Armed Services Committee.",http://t.co/QaDOYmqOzS,17118,601,1469
JoaquinCastrotx,231510077,"San Antonio, Texas",Texas Congressman; Chairman of @HispanicCaucus; Vice Chairman of @HouseForeign; Member of @HouseIntel and @EdLaborCmte Commitees; host of @DiploCable.,https://t.co/kGmhJFxmq0,213879,2005,15169
RepBrendanBoyle,231108733,Philadelphia and Washington,"Congressman from my hometown: Philadelphia, PA. Notre Dame & Harvard alum. Husband, dad and eternally hopeful Philly sports fan.",https://t.co/oaFinPKbyy,33782,2371,7496
RepDavid,229197216,Arizona,Avid hiker and coffee enthusiast who is proud to represent Arizona's 6th Congressional District in the U.S. House of Representatives.,https://t.co/bsAbCTNenN,27732,1936,4002
SenatorLankford,225921757,"Oklahoma and Washington, DC",Serving the State of Oklahoma in the United States Senate,https://t.co/TAadQRBWvo,77707,491,6604
HouseAdmnGOP,224391627,1216 LHOB,"Committee on House Administration, Republican Office - Ranking Member Rodney Davis (R-IL)",https://t.co/69HpHnPq1V,6106,508,610
RepMarthaRoby,224294785,,I am honored to represent Alabama’s Second Congressional District in the U.S. House of Representatives.,https://t.co/nPA2X3gwgx,33865,2145,8763
SenatorBennet,224285242,Colorado,U.S. Senator for Colorado,http://t.co/bQVU54FnhE,295974,364,3900
NitaLowey,221792092,"New York and Washington, D.C.",Proudly representing NY17. @AppropsDems Chairwoman. RTs/follows ≠ endorsements. Newsletter sign-up: https://t.co/JSmr63CIAQ,https://t.co/VoLfqiVvjx,34053,1930,4306
SenToomey,221162525,,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,http://t.co/7dKjJ0xolY,131711,1049,4860
RepKinzinger,219429281,"Channahon, IL",I represent Illinois' 16th District. It's an honor to serve in Congress on @HouseCommerce @HouseForeignGOP & to serve as a pilot in the Air National Guard.,https://t.co/GgL4IzZXrZ,68965,967,7979
SenatorTimScott,217543151,,U.S. Senator from South Carolina,https://t.co/EoB6giYuOp,380390,3883,8126
RandPaul,216881337,"Bowling Green, KY","U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.",https://t.co/V4RkZkfWyy,2551705,492,13250
RepBillJohnson,211530910,Eastern/Southeastern Ohio,Proudly representing #Ohio's 6th Congressional District. Energy Enthusiast. Veteran. Husband. Father. Grandfather.,http://t.co/qiTALKWyNZ,37205,728,5982
RepSteveStivers,211420609,,Proud to represent the citizens of Ohio's 15th Congressional District.,http://t.co/ccc8OvsbWo,34694,925,3327
RepCuellar,210926192,"Laredo, Texas / Washington DC",Proudly representing the 28th Congressional District of Texas.,https://t.co/02ZzxxTual,24265,2076,5383
SenJohnBarrasso,202206694,,"U.S. Senator for the great state of Wyoming, @SenateGOP Chairman, and Chairman of @EPWGOP.",http://t.co/oAKWpUrAWS,120584,518,4410
RepAndreCarson,199325935,Indianapolis,The official Twitter account for Congressman André Carson of Indiana's 7th District. #Indianapolis #Indy,http://t.co/SDbjhU0u5K,44396,961,4072
RepBenMcAdams,196362083,"Utah, USA",The official Twitter account for Utah's 4th Congressional District representative,https://t.co/12wZyksOHt,11774,1159,4314
RepVisclosky,193872188,"Northwest, IN - Washington, DC","Tweets from the Office of Congressman Pete Visclosky, proudly representing the people of Indiana's First Congressional District. Policy: http://t.co/Wi81U7L5zE",http://t.co/NunATQ3IeS,15294,1054,1916
SenCapito,193794406,,Proudly serving West Virginia in the United States Senate.,http://t.co/s6UUsbxSHW,73287,1003,8409
RepJudyChu,193732179,"Pasadena, CA",Proudly representing California's 27th District in the U.S. House of Representatives. Ways and Means. Small Business. Chair of @CAPAC.,http://t.co/ifzdjzHS3k,72021,45098,5448
RepTomGraves,190328374,"Washington, DC","Dad, husband, and conservative Republican representing Georgia's 14th Congressional District. #GA14",https://t.co/cRm0yQofdy,22024,2116,4364
WhipClyburn,188019606,"Washington, DC",Majority Whip in the U.S. House of Representatives; representing South Carolina's 6th District.,https://t.co/uCL4fDYXSY,74490,1580,3038
timkaine,172858784,"Richmond, VA","Husband to @AnneHolton, father of 3. U.S. Senator from Virginia. In my free time, I’m either outdoors, reading, or jamming on the harmonica.",https://t.co/YNK0Xrmt2G,987912,774,10113
SenBobCasey,171598736,"Scranton, PA",Official twitter profile for U.S. Senator Bob Casey.,https://t.co/EghtimAhrt,410434,637,9445
repdavidscott,168673083,Georgia,"Representing Georgia's 13th Congressional District including Cobb, Douglas, Fayette, Fulton, Clayton, and Henry Counties.",http://t.co/86ovd85h30,21405,1873,2873
RepEBJ,168502762,"Dallas, Texas","14th term representing TX-30; Chairwoman of the House Committee on Science, Space and Technology; Dean of the Texas Delegation; 1st Registered Nurse in Congress",http://t.co/bIJXUYo21y,33874,2120,8601
NydiaVelazquez,164369297,NYC and DC,Represents New York's 7th Congressional District in the U.S. House of Representatives. Chairwoman of House Small Business Committee. Follow us @HouseSmallBiz,https://t.co/Gahd1XU986,62224,5276,7461
RepEliotEngel,164007407,,"Congressman representing parts of the Bronx and Westchester Counties in New York #NY16. Chair, @HouseForeign.",http://t.co/BVwX9Ov3sA,40283,985,4975
repcleaver,163570705,,"This is the official Twitter page of Congressman Emanuel Cleaver, II, representing Missouri's Fifth District.",https://t.co/dOfaqxI1gQ,44536,1045,6865
RepCohen,162069635,"Memphis, TN and Washington, DC",CongressTN09 Memphis;Judiciary&Transportation;Civil Rights&Liberties;Impeach45; Women&Minority Issues;Med. Research;Animal Welfare;Father of TN Ed. Lottery; Dem,https://t.co/8nluo21rdt,69609,7322,10302
BobbyScott,161791703,"Newport News, VA","Proudly representing Virginia's 3rd Congressional District. Chairman, Committee on Education and Labor @EdLaborCmte.",https://t.co/gWMFDglGRu,35125,2983,5975
RepKayGranger,161743731,Texas,Representing the 12th District of Texas. Ranking Member of the House Appropriations Committee. #TX12,https://t.co/rjSuyksQGL,21648,1138,1841
gracenapolitano,161411080,"El Monte, CA",Congresswoman from California's 32nd Congressional District in the US House of Representatives,https://t.co/7k3n9mOHmy,35665,578,2850
RepAlGreen,156333623,"Houston, TX & Washington, DC","Proud to represent TX-09 in the U.S. House of Representatives 
• https://t.co/Lcfa10jIfH • https://t.co/MXGp8OLtZm 
#First58 #Historic66 #Noble95",https://t.co/4xG26ktTyt,73342,640,2066
RepDavidEPrice,155669457,,"I am proud to represent NC's 4th Congressional District, which includes Orange and parts of Wake and Durham Counties.",https://t.co/Ie8fVlfmac,30253,2782,4745
RepLloydDoggett,153944899,Texas,Representing communities from San Antonio to Austin. Chairman of the Health Subcommittee on the House Ways & Means Committee.,http://t.co/ukPGmJS3hB,35070,605,8337
RepMarciaFudge,153486399,"Cleveland / Akron, OH","I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.",http://t.co/JrkK1xS2vV,39114,6189,6061
HouseBudgetDems,151963505,,"Official account for U.S House of Representatives Budget Committee, Chairman @RepJohnYarmuth",https://t.co/rRChWZI0w4,14177,501,5735
ChrisMurphyCT,150078976,,U.S. Senator from Connecticut.,,821295,201,19911
RepRobBishop,148006729,Brigham City or D.C.,,http://t.co/I1sp1BC4hV,4538,94,0
rosadelauro,140519774,"New Haven, CT","Proud to represent CT's 3rd CD. Italian-American, New Haven native, fierce advocate for a strong middle class & those in need. Tweets from Rosa are signed -Rosa",http://t.co/IEn4FrZ95W,42238,3221,7211
RepTedDeutch,137794015,"Florida, USA","Chairman of Ethics Committee. Chairman of Subcommittee on Middle East, North Africa & Int’l Terrorism. Member of Judiciary Committee. I rep Broward & Palm Beach",https://t.co/yp6YjUk7GH,65729,2628,8648
SenRickScott,131546062,The Sunshine State,"Senator from the great state of Florida. Fighting for Florida families and to Make Washington Work. #LetsGetToWork
https://t.co/t2TJJ5tras",https://t.co/sHIJdrhtn1,282330,2824,14864
RepFredUpton,124224165,"St. Joseph, Michigan","Call me Fred. Husband, Dad, & proud to represent Southwest Michigan.",https://t.co/3thchERYkn,27200,2048,6503
repdinatitus,122174004,"Las Vegas, NV",Congresswoman proudly representing the First District of Nevada in the U.S. House of Representatives.,https://t.co/2roqLuazqO,34972,1842,11836
SenatorCantwell,117501995,"Washington, DC",U.S. Senator from Washington State | Tweets from Maria are signed –MC | Facebook: https://t.co/qLmMk10nJI RT≠endorsement,https://t.co/5P50HzPLoB,231534,2235,8570
JECDems,116505994,"Washington, D.C.","News & updates from the Democratic staff of the U.S. Congress Joint Economic Committee. Vice Chair Rep. Carolyn B. Maloney @RepMaloney

RTs!=endorsements.",https://t.co/6KGMIAlGfo,8290,1270,5421
DWStweets,115979444,"Weston, FL & Washington, D.C.","Dog loving, clean cooking, breast cancer-surviving, Florida Gator cheering, softball-playing mother of three fighting in Congress on behalf of South Floridians.",https://t.co/R5UpTCuwFP,364851,863,10478
HouseCommerce,114756202,"Washington, D.C.",House Energy & Commerce Committee Republicans | Republican Leader @repgregwalden,https://t.co/N1b9OueDJW,31675,1053,14646
RepRonKind,112740986,"La Crosse, WI",Proud Wisconsinite. 🏈🧀🇺🇸🍻 I work for the people of Wisconsin’s Third Congressional District.  Go Badgers! Go Brewers! Go Pack!,https://t.co/36VsaHRS7r,15976,779,1551
JoeCrowleyNY,111635980,,"A boy from Queens. Father, husband, former Congressman, and Springsteen fan.",,33256,1046,6466
SenatorShaheen,109287731,"Washington, DC",Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.,https://t.co/6hHVU7yiOK,107824,2910,8410
JECRepublicans,109280446,,"Official account of the U.S. Congressional Joint Economic Committee, Republicans. Home of the Social Capital Project. Chairman: @SenMikeLee",https://t.co/M5uBJVZeZn,6361,722,7745
SenatorCardin,109071031,"Maryland, USA","U.S. Senator for Maryland. #SaveTheBay. Small Business, Foreign Relations, Enviro, Finance committees. https://t.co/Rwn7M4xbXO",https://t.co/Vn15gdjyCO,246329,2844,10702
maziehirono,92186819,Hawaii,U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii,http://t.co/m4u3CFOBHg,421294,1434,5712
RepDwightEvans,90639372,"Philadelphia, PA",Representing the 3rd Congressional District in PA. Making Ideas Matter since 1980. Connect on Facebook: https://t.co/xMYIke63lr,https://t.co/JF4XLr08tQ,15820,3301,17479
RepGaramendi,88806753,"Walnut Grove, CA","Congressman for California's 3rd Congressional District, former Lieutenant Governor, Insurance Commissioner, Deputy Interior Secretary, state legislator",https://t.co/URSjg4grIB,29610,8977,13873
SenMikeLee,88784440,Utah,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,http://t.co/WnT9wNOtNT,518125,2316,4995
RepJoeCourtney,85396297,"Vernon, CT",U.S. Congressman proudly fighting for the residents of Connecticut’s 2nd Congressional District. https://t.co/qNiLbsYBdJ,http://t.co/AUFMDc1ZOx,25310,2238,7141
RepPaulTonko,84119348,,"Engineer. Ice cream lover. Chair of Environment & Climate Subcommittee. Congressman for #NY20 Albany, Schenectady, Troy, Saratoga Springs, Amsterdam & more 🇺🇸",https://t.co/63lCEfxOKL,25165,2017,12105
BennieGThompson,82453460,"Bolton, Mississippi",Husband. Father. Grandfather. Avid hunter. Proudly serving #MS02 in Congress. | Chairman of @HomelandDems. | Follow my Instagram: @benniegthompson.,https://t.co/kfK8rrv43J,15767,494,2283
JacksonLeeTX18,80612021,"Houston, TX","Official Twitter account for Congresswoman Sheila Jackson Lee, Representing Texas' 18th Congressional District in the U.S. House of Representatives.",https://t.co/5K4lQ3yBcP,81480,2257,8762
