word,similarity
answer,0.6798566579818726
annual,0.774427592754364
able,0.6484133005142212
bring,0.48709410429000854
cancer,0.8679953217506409
come,0.5409631729125977
chance,0.5994768142700195
day,0.5265355706214905
entire,0.5898548364639282
far,0.6578253507614136
find,0.6573337316513062
go,0.5429043173789978
get,0.5173816084861755
hear,0.4573233723640442
help,0.544758677482605
host,0.8011474609375
hold,0.5404155254364014
join,0.6850800514221191
look,0.6416394710540771
long,0.4952918291091919
live,0.5627652406692505
month,0.5663996934890747
matter,0.6634498238563538
member,0.6743438243865967
morning,0.6535086035728455
meet,0.6012343764305115
night,0.618781566619873
near,0.38882946968078613
opportunity,0.7122877836227417
open,0.5129388570785522
plan,0.4898863136768341
place,0.4344150424003601
phone,0.8173784017562866
read,0.61903315782547
receive,0.6825727224349976
recent,0.7121841311454773
sure,0.6105059385299683
send,0.7629386186599731
share,0.7239594459533691
small,0.6835883855819702
staff,0.6704398393630981
shut,0.6766484975814819
thanksgiving,0.8671807050704956
thank,0.6089955568313599
think,0.5682293772697449
take,0.5568068623542786
today,0.5103675127029419
talk,0.5947960615158081
weekend,0.8155378103256226
week,0.5523463487625122
yesterday,0.6763505339622498
